start_freq,end_freq,allocation,applications
3230000,3400000,"FIXED, MOBILE except aeronautical mobile","Inductive applications, Defence systems, Point-to-Point"
3400000,3500000,AERONAUTICAL MOBILE (R),"Inductive applications, Aeronautical communications"
3500000,3800000,"AMATEUR, FIXED, MOBILE except aeronautical mobile","Inductive applications, Amateur, Defence systems, Point-to-Point"
3800000,3900000,"AERONAUTICAL MOBILE (OR), FIXED, LAND MOBILE","Inductive applications, Defence systems, Point-to-Point"
3900000,3950000,AERONAUTICAL MOBILE (OR),"Inductive applications, Aeronautical military systems"
3950000,4000000,FIXED,"Inductive applications, Point-to-Point"
4000000,4063000,FIXED,"Inductive applications, Point-to-Point, Defence systems"
4063000,4152000,MARITIME MOBILE,"Inductive applications, Maritime communications"
4152000,4172000,MARITIME MOBILE,"Inductive applications, Maritime military systems"
4172000,4438000,MARITIME MOBILE,"Inductive applications, Maritime communications"
4438000,4650000,"FIXED, MOBILE except aeronautical mobile (R)","Inductive applications, Defence systems, Euroloop, Point-to-Point"
4650000,4700000,AERONAUTICAL MOBILE (R),"Inductive applications, Aeronautical communications"
4700000,4750000,AERONAUTICAL MOBILE (OR),"Inductive applications, Aeronautical military systems"
4750000,4850000,FIXED,"Inductive applications, Point-to-Point"
4850000,4995000,"FIXED, LAND MOBILE","Inductive applications, Point-to-Point"
4995000,5060000,not allocated,Inductive applications
5060000,5450000,FIXED,"Inductive applications, Defence systems, Point-to-Point"
5450000,5480000,"FIXED, LAND MOBILE, AERONAUTICAL MOBILE (OR)","Inductive applications, Defence systems"
5480000,5680000,AERONAUTICAL MOBILE (R),"Inductive applications, Aeronautical communications"
5680000,5730000,AERONAUTICAL MOBILE (OR),"Inductive applications, Aeronautical military systems"
5730000,5900000,FIXED,"Inductive applications, Point-to-Point"
5900000,5950000,not allocated,Inductive applications
5950000,6200000,BROADCASTING,"Inductive applications, AM sound analogue"
6200000,6233000,MARITIME MOBILE,"Inductive applications, Maritime communications"
6233000,6261000,MARITIME MOBILE,"Inductive applications, Maritime military systems"
6261000,6525000,MARITIME MOBILE,"Inductive applications, Maritime communications"
6525000,6685000,AERONAUTICAL MOBILE (R),"Inductive applications, Aeronautical communications"
6685000,6765000,AERONAUTICAL MOBILE (OR),"Inductive applications, Aeronautical military systems"
6765000,7000000,FIXED,"Inductive applications, Point-to-Point, ISM (6765-6795 kHz), Non-specific Short Range Devices (6765-6795 kHz)"
7000000,7100000,"AMATEUR, AMATEUR-SATELLITE","Inductive applications, Amateur, Amateur-satellite"
7100000,7200000,Amateur,"Inductive applications, Amateur"
7200000,7300000,BROADCASTING,"Inductive applications, AM sound analogue"
7300000,7350000,not allocated,Inductive applications
7350000,8195000,FIXED,"Inductive applications, Point-to-Point"
8195000,8300000,MARITIME MOBILE,"Inductive applications, Maritime communications"
8300000,8340000,MARITIME MOBILE,"Inductive applications, Maritime military systems"
8340000,8815000,MARITIME MOBILE,"Inductive applications, Maritime communications"
8815000,8965000,AERONAUTICAL MOBILE (R),"Inductive applications, Aeronautical communications"
8965000,9040000,AERONAUTICAL MOBILE (OR),"Inductive applications, Aeronautical military systems"
9040000,9400000,FIXED,"Inductive applications, Point-to-Point"
9400000,9500000,not allocated,Inductive applications
9500000,9900000,BROADCASTING,"Inductive applications, AM sound analogue"
9900000,9995000,FIXED,"Inductive applications, Point-to-Point"
9995000,10005000,not allocated,Inductive applications
10005000,10100000,not allocated,Inductive applications
10100000,10150000,Amateur,"Inductive applications, Amateur"
10150000,11175000,FIXED,"Inductive applications, Defence systems, Point-to-Point"
11175000,11275000,AERONAUTICAL MOBILE (OR),"Inductive applications, Aeronautical military systems"
11275000,11400000,AERONAUTICAL MOBILE (R),"Inductive applications, Aeronautical communications"
11400000,11600000,FIXED,"Inductive applications, Point-to-Point"
11600000,11650000,not allocated,Inductive applications
11650000,12050000,BROADCASTING,"Inductive applications, AM sound analogue"
12050000,12100000,not allocated,Inductive applications
12100000,12230000,FIXED,"Inductive applications, Point-to-Point"
12230000,12368000,MARITIME MOBILE,"Inductive applications, Maritime communications"
12368000,12420000,MARITIME MOBILE,"Inductive applications, Maritime military systems"
12420000,13200000,MARITIME MOBILE,"Inductive applications, Maritime communications, Ultra Low Power Animal Implantable Devices (12500-20000 kHz)"
13200000,13260000,AERONAUTICAL MOBILE (OR),"Inductive applications, Ultra Low Power Animal Implantable Devices, Aeronautical military systems"
13260000,13360000,AERONAUTICAL MOBILE (R),"Inductive applications, Ultra Low Power Animal Implantable Devices, Aeronautical communications"
13360000,13570000,FIXED,"Inductive applications, Ultra Low Power Animal Implantable Devices, Defence systems, Point-to-Point, ISM (13553-13567 kHz), Non-specific Short Range Devices (13553-13567 kHz)"
13570000,13600000,not allocated,"Inductive applications, Ultra Low Power Animal Implantable Devices"
13600000,13800000,BROADCASTING,"Inductive applications, Ultra Low Power Animal Implantable Devices, AM sound analogue"
13800000,13870000,not allocated,"Inductive applications, Ultra Low Power Animal Implantable Devices"
13870000,14000000,FIXED,"Inductive applications, Ultra Low Power Animal Implantable Devices, Defence systems, Point-to-Point"
14000000,14250000,"AMATEUR, AMATEUR-SATELLITE","Inductive applications, Ultra Low Power Animal Implantable Devices, Amateur, Amateur-satellite"
14250000,14350000,AMATEUR,"Inductive applications, Ultra Low Power Animal Implantable Devices, Amateur"
14350000,14990000,FIXED,"Inductive applications, Ultra Low Power Animal Implantable Devices, Defence systems, Point-to-Point"
14990000,15010000,not allocated,"Inductive applications, Ultra Low Power Animal Implantable Devices"
15010000,15100000,AERONAUTICAL MOBILE (OR),"Inductive applications, Ultra Low Power Animal Implantable Devices, Aeronautical military systems"
15100000,15600000,BROADCASTING,"Inductive applications, Ultra Low Power Animal Implantable Devices, AM sound analogue"
15600000,15800000,not allocated,"Inductive applications, Ultra Low Power Animal Implantable Devices"
15800000,16360000,FIXED,"Inductive applications, Ultra Low Power Animal Implantable Devices, Point-to-Point"
16360000,16549000,MARITIME MOBILE,"Inductive applications, Ultra Low Power Animal Implantable Devices, Maritime communications"
16549000,16617000,MARITIME MOBILE,"Inductive applications, Ultra Low Power Animal Implantable Devices, Maritime military systems"
16617000,17410000,MARITIME MOBILE,"Inductive applications, Ultra Low Power Animal Implantable Devices, Maritime communications"
17410000,17480000,FIXED,"Inductive applications, Ultra Low Power Animal Implantable Devices, Point-to-Point"
17480000,17550000,not allocated,"Inductive applications, Ultra Low Power Animal Implantable Devices"
17550000,17900000,BROADCASTING,"Inductive applications, Ultra Low Power Animal Implantable Devices, AM sound analogue"
17900000,17970000,AERONAUTICAL MOBILE (R),"Inductive applications, Ultra Low Power Animal Implantable Devices, Aeronautical communications"
17970000,18030000,AERONAUTICAL MOBILE (OR),"Inductive applications, Ultra Low Power Animal Implantable Devices, Aeronautical military systems"
18030000,18052000,FIXED,"Inductive applications, Ultra Low Power Animal Implantable Devices, Point-to-Point"
18052000,18068000,not allocated,"Inductive applications, Ultra Low Power Animal Implantable Devices"
18068000,18168000,"AMATEUR, AMATEUR-SATELLITE","Inductive applications, Ultra Low Power Animal Implantable Devices, Amateur, Amateur-satellite"
18168000,18780000,FIXED,"Inductive applications, Ultra Low Power Animal Implantable Devices, Defence systems, Point-to-Point"
18780000,18846000,MARITIME MOBILE,"Inductive applications, Ultra Low Power Animal Implantable Devices, Maritime communications"
18846000,18870000,MARITIME MOBILE,"Inductive applications, Ultra Low Power Animal Implantable Devices, Maritime military systems"
18870000,18900000,MARITIME MOBILE,"Inductive applications, Ultra Low Power Animal Implantable Devices, Maritime communications"
18900000,19020000,not allocated,"Inductive applications, Ultra Low Power Animal Implantable Devices"
19020000,19680000,FIXED,"Inductive applications, Ultra Low Power Animal Implantable Devices, Point-to-Point"
19680000,19800000,MARITIME MOBILE,"Inductive applications, Ultra Low Power Animal Implantable Devices, Defence systems"
19800000,19990000,FIXED,"Inductive applications, Ultra Low Power Animal Implantable Devices, Point-to-Point"
19990000,20010000,not allocated,"Inductive applications, Ultra Low Power Animal Implantable Devices (12500-20000 kHz)"
20010000,21000000,FIXED,"Inductive applications, Point-to-Point"
21000000,21450000,"AMATEUR, AMATEUR-SATELLITE","Inductive applications, Amateur, Amateur-satellite"
21450000,21850000,BROADCASTING,"Inductive applications, AM sound analogue"
21850000,21870000,FIXED,"Inductive applications, Point-to-Point"
21870000,21924000,not allocated,Inductive applications
21924000,22000000,AERONAUTICAL MOBILE (R),"Inductive applications, Aeronautical communications"
22000000,22180000,MARITIME MOBILE,"Inductive applications, Maritime communications"
22180000,22240000,MARITIME MOBILE,"Inductive applications, Maritime military systems"
22240000,22855000,MARITIME MOBILE,"Inductive applications, Maritime communications"
22855000,23200000,FIXED,"Inductive applications, Defence systems, Point-to-Point"
23200000,23350000,"AERONAUTICAL MOBILE (OR), FIXED","Inductive applications, Defence systems"
23350000,24890000,FIXED,"Inductive applications, Defence systems, Point-to-Point"
24890000,24990000,"AMATEUR, AMATEUR-SATELLITE","Inductive applications, Amateur, Amateur-satellite"
24990000,25070000,not allocated,"Inductive applications, Defence systems"
25070000,25121000,MARITIME MOBILE,"Inductive applications, Maritime communications"
25121000,25161250,MARITIME MOBILE,"Inductive applications, Maritime military systems"
25161250,25210000,MARITIME MOBILE,"Inductive applications, Maritime communications"
25210000,25550000,FIXED,"Inductive applications, Defence systems, Point-to-Point"
25550000,25670000,not allocated,Inductive applications
25670000,26100000,BROADCASTING,"Inductive applications, AM sound analogue"
26100000,26175000,MARITIME MOBILE,Inductive applications
26175000,27500000,"FIXED, MOBILE except aeronautical mobile","Inductive applications, Defence systems, Point-to-Point, Eurobalise (26345-27845 kHz) (27.095 MHz), On-site paging (26500-26960 kHz), ISM (26957-27283 kHz), Non-specific Short Range Devices (26957-27283 kHz), AM CB (26960-26990 kHz), PR 27 (26960-26990 kHz), Model control (26990-27000 kHz), AM CB (27000-27040 kHz), PR 27 (27000-27040 kHz), Model control (27040-27050 kHz), AM CB (27050-27090 kHz), PR 27 (27050-27090 kHz), Model control (27090-27100 kHz), AM CB (27100-27140 kHz), PR 27 (27100-27140 kHz), Model control (27140-27150 kHz), AM CB (27150-27190 kHz), PR 27 (27150-27190 kHz), Model control (27190-27200 kHz), AM CB (27200-27410 kHz), PR 27 (27200-27410 kHz)"
27500000,28000000,not allocated,"Inductive applications, Eurobalise (26345-27845 kHz) (27.095 MHz)"
28000000,29700000,"AMATEUR, AMATEUR-SATELLITE","Inductive applications, Amateur, Amateur-satellite"
29700000,30025000,MOBILE,"Inductive applications (9-30000 kHz), Defence systems, Ultra Low Power Medical Membrane Implants (30-37.5 MHz)"
30025000,30287500,MOBILE,"Ultra Low Power Medical Membrane Implants, PMR, Radio microphone"
30287500,32462500,MOBILE,"Ultra Low Power Medical Membrane Implants, Defence systems"
32462500,33287500,MOBILE,"Ultra Low Power Medical Membrane Implants, PMR, Radio microphone"
33287500,34062500,MOBILE,"Ultra Low Power Medical Membrane Implants, Defence systems"
34062500,36987500,MOBILE,"Ultra Low Power Medical Membrane Implants, Radio microphone, PMR, Flying model control (34.995-35.335 MHz), Wireless audio applications (36.6-36.8 MHz)"
36987500,37262500,MOBILE,"Ultra Low Power Medical Membrane Implants, Radio microphone, Defence systems, Wireless audio applications (37-37.2 MHz)"
37262500,37712500,MOBILE,"Ultra Low Power Medical Membrane Implants (30-37.5 MHz), Defence systems"
37712500,39925000,MOBILE,"Radio microphone, Wireless audio applications (37.8-38 MHz)"
39925000,40562500,MOBILE,Defence systems
40562500,40700000,MOBILE,"Radio microphone, Model control (40.57-40.7 MHz), ISM (40.66-40.7 MHz), Non-specific Short Range Devices (40.66-40.7 MHz)"
40700000,40787500,MOBILE,On-site paging
40787500,40975000,MOBILE,Defence systems
40975000,41212500,MOBILE,"On-site paging, Radio microphone"
41212500,41725000,MOBILE,Defence systems
41725000,41987500,MOBILE,"On-site paging, Radio microphone"
41987500,47000000,MOBILE,Defence systems
47000000,68000000,LAND MOBILE,"Land military systems, Amateur (50-52 MHz)"
68000000,69945000,MOBILE except aeronautical mobile,Defence systems
69945000,69955000,"MOBILE except aeronautical mobile, Amateur","Defence systems, Amateur (69.950 MHz)"
69955000,70112500,MOBILE except aeronautical mobile,Defence systems
70112500,70412500,MOBILE except aeronautical mobile,"PMR, Amateur (70.19-70.4125 MHz)"
70412500,71987500,MOBILE except aeronautical mobile,Defence systems
71987500,72512500,MOBILE except aeronautical mobile,"PMR, Model control (72.0125-72.2625 MHz)"
72512500,74787500,MOBILE except aeronautical mobile,Defence systems
74787500,74800000,MOBILE except aeronautical mobile,
74800000,75200000,AERONAUTICAL RADIONAVIGATION,ILS
75200000,78687500,MOBILE except aeronautical mobile,PMR
78687500,81525000,MOBILE except aeronautical mobile,Defence systems
81525000,82500000,MOBILE except aeronautical mobile,PMR
82500000,84987500,MOBILE except aeronautical mobile,Defence systems
84987500,87500000,MOBILE except aeronautical mobile,PMR
87500000,108000000,BROADCASTING,"FM sound analogue, Wireless audio applications"
108000000,117975000,AERONAUTICAL RADIONAVIGATION,"ILS, VOR"
117975000,121450000,AERONAUTICAL MOBILE (R),Aeronautical communications
121450000,121550000,AERONAUTICAL MOBILE (R),EPIRBs
121550000,137000000,AERONAUTICAL MOBILE (R),Aeronautical communications
137000000,137025000,"METEOROLOGICAL-SATELLITE (space-to-Earth), MOBILE-SATELLITE (space-to-Earth), SPACE OPERATION (space-to-Earth), SPACE RESEARCH (space-to-Earth)","Space Operations, S-PCS, Weather satellites"
137025000,137175000,"METEOROLOGICAL-SATELLITE (space-to-Earth), Mobile-Satellite (space-to-Earth), SPACE OPERATION (space-to-Earth), SPACE RESEARCH (space-to-Earth)","Space Operations, S-PCS, Weather satellites"
137175000,137875000,"METEOROLOGICAL-SATELLITE (space-to-Earth), MOBILE-SATELLITE (space-to-Earth), SPACE OPERATION (space-to-Earth), SPACE RESEARCH (space-to-Earth)","Space Operations, S-PCS, Weather satellites"
137875000,138000000,"METEOROLOGICAL-SATELLITE (space-to-Earth), Mobile-Satellite (space-to-Earth), SPACE OPERATION (space-to-Earth), SPACE RESEARCH (space-to-Earth)","Space Operations, S-PCS, Weather satellites"
138000000,144000000,"AERONAUTICAL MOBILE (OR), LAND MOBILE",Defence systems
144000000,146000000,"AMATEUR, AMATEUR-SATELLITE","Amateur, Amateur-satellite"
146000000,148000000,MOBILE except aeronautical mobile (R),PMR
148000000,149900000,"MOBILE except aeronautical mobile (R), MOBILE-SATELLITE (Earth-to-space)","On-site paging, PMR, S-PCS"
149900000,150050000,"MOBILE-SATELLITE (Earth-to-space), RADIONAVIGATION-SATELLITE","PMR (No new assignments), S-PCS"
150050000,153000000,"MOBILE except aeronautical mobile, RADIO ASTRONOMY",PMR
153000000,154000000,"Meteorological Aids, MOBILE except aeronautical mobile (R)",PMR
154000000,156000000,MOBILE except aeronautical mobile (R),PMR
156000000,156512500,MOBILE except aeronautical mobile (R),Maritime communications
156512500,156537500,MOBILE except aeronautical mobile (R),SAR (communications)
156537500,156762500,MOBILE except aeronautical mobile (R),Maritime communications
156762500,156837500,MARITIME MOBILE (distress and calling),SAR (communications)
156837500,174000000,MOBILE except aeronautical mobile,"On-site paging, Maritime communications (156.8375-157.45 MHz), PMR (157.45-160.6 MHz), Maritime communications (160.6-160.975 MHz), PMR (160.975-161.475 MHz), Maritime communications (161.475-162.05 MHz), PMR (162.05-169.4 MHz), Aids for hearing impaired (169.4-169.475 MHz) (License exempt), Aids for hearing impaired (169.4-169.475 MHz) (Individual license required), Aids for hearing impaired (169.4-169.475 MHz) (Individual license required), Aids for hearing impaired (169.4-169.475 MHz) (License exempt), Asset tracking and tracing (169.4-169.475 MHz), Meter reading (169.4-169.475 MHz), Alarms (169.475-169.4875 MHz), Aids for hearing impaired (169.4875-169.5875 MHz) (Individual license , required), Aids for hearing impaired (169.4875-169.5875 MHz) (License exempt), Aids for hearing impaired (169.4875-169.5875 MHz) (License exempt), Aids for hearing impaired (169.4875-169.5875 MHz) (Individual license , required), Alarms (169.5875-169.6 MHz), PMR (169.825-174 MHz)"
174000000,223000000,"BROADCASTING, LAND MOBILE","T-DAB (Foreseen), SAP/SAB portable audio link (174-216 MHz), SAP/SAB vehicular audio links (174-216 MHz), Radio microphone (174-202 MHz), On-site paging (174-174.06 MHz), Radio microphone (202-209 MHz), Radio microphone (209-216 MHz)"
223000000,226500000,BROADCASTING,T-DAB
226500000,230000000,"BROADCASTING, Fixed, Mobile","Defence systems, T-DAB (Foreseen)"
230000000,235000000,"FIXED, MOBILE",Defence systems
235000000,242950000,"FIXED, MOBILE, Mobile-Satellite",Defence systems
242950000,243050000,"FIXED, MOBILE, Mobile-Satellite",EPIRBs
243050000,322000000,"FIXED, MOBILE, Mobile-Satellite",Defence systems
322000000,328600000,"FIXED, MOBILE, RADIO ASTRONOMY","Defence systems, Radio astronomy"
328600000,335400000,AERONAUTICAL RADIONAVIGATION,ILS
335400000,380000000,"FIXED, MOBILE, Mobile-Satellite",Defence systems
380000000,385000000,"FIXED, MOBILE, Mobile-Satellite",Emergency services
385000000,390000000,"FIXED, MOBILE, Mobile-Satellite",Defence systems
390000000,395000000,"FIXED, MOBILE, Mobile-Satellite",Emergency services
395000000,399900000,"FIXED, MOBILE, Mobile-Satellite",Defence systems
399900000,400050000,"MOBILE-SATELLITE (Earth-to-space), RADIONAVIGATION-SATELLITE",
400050000,400150000,STANDARD FREQUENCY AND TIME SIGNAL-SATELLITE,
400150000,401000000,"METEOROLOGICAL AIDS, MOBILE-SATELLITE (space-to-Earth)","Defence systems, Sondes"
401000000,403000000,"METEOROLOGICAL AIDS, Meteorological-Satellite (Earth-to-space)","Defence systems, Sondes, Weather satellites, Active medical implants (401-402 MHz), Ultra Low Power Active Medical Implants (402-405 MHz)"
403000000,406000000,METEOROLOGICAL AIDS,"Defence systems, Sondes, Ultra Low Power Active Medical Implants (402-405 MHz), Active medical implants (405-406 MHz)"
406000000,406100000,MOBILE-SATELLITE (Earth-to-space),EPIRBs
406100000,410000000,"MOBILE except aeronautical mobile, RADIO ASTRONOMY","PMR, Radio astronomy"
410000000,430000000,MOBILE except aeronautical mobile,"PAMR, PMR, TETRA (415-419 MHz), TETRA (425-429 MHz)"
430000000,440000000,"AMATEUR, RADIOLOCATION","Amateur, Defence systems, ISM (433.05-434.79 MHz), Non-specific Short Range Devices (433.05-434.79 MHz), Amateur-satellite (435-438 MHz)"
440000000,450000000,MOBILE except aeronautical mobile,"Medical Telemetry, PMR, Analogue PMR446 (446-446.1 MHz), Digital PMR446 (446.1-446.2 MHz)"
450000000,470000000,"FIXED, MOBILE","Medical Telemetry, On-site paging, PMR, On-board communications (457.525-457.575 MHz), On-board communications (467.525-467.575 MHz)"
470000000,608000000,"BROADCASTING, Land Mobile","DVB-T, SAP/SAB portable audio link, SAP/SAB vehicular audio links, Radio microphone (470-518 MHz), Medical Telemetry (470-470.225 MHz), Radio microphone (518-526 MHz), Radio microphone (526-534 MHz), Radio microphone (534-542 MHz), Radio microphone (542-786 MHz), Intercom (550-574 MHz)"
608000000,614000000,"BROADCASTING, Land Mobile, Radio Astronomy","Radio microphone, Radio astronomy"
614000000,790000000,"BROADCASTING, Land Mobile","Radio microphone (542-786 MHz), DVB-T, SAP/SAB portable audio link (614-780 MHz), SAP/SAB vehicular audio links (614-780 MHz), Intercom (614-646 MHz), Intercom (774-784 MHz), Radio microphone (786-789 MHz)"
790000000,826000000,MOBILE except aeronautical mobile,"Broadband Wireless Access (791-821 MHz), Radio microphone (823-826 MHz)"
826000000,832000000,MOBILE except aeronautical mobile,Radio microphone
832000000,862000000,MOBILE except aeronautical mobile,Broadband Wireless Access
862000000,863000000,MOBILE except aeronautical mobile,Defence systems
863000000,868600000,MOBILE except aeronautical mobile,"Radio microphone (863-865 MHz), Wireless audio applications (863-865 MHz), CT2 (864.1-868.1 MHz), RFID (865-868 MHz), Non-specific Short Range Devices (868-868.6 MHz)"
868600000,868700000,MOBILE except aeronautical mobile,Alarms
868700000,869200000,MOBILE except aeronautical mobile,Non-specific Short Range Devices
869200000,869400000,MOBILE except aeronautical mobile,Alarms
869400000,869650000,MOBILE except aeronautical mobile,Non-specific Short Range Devices
869650000,869700000,MOBILE except aeronautical mobile,Alarms
869700000,870000000,MOBILE except aeronautical mobile,Non-specific Short Range Devices
870000000,876000000,MOBILE except aeronautical mobile,
876000000,880000000,MOBILE except aeronautical mobile,GSM-R
880000000,915000000,MOBILE except aeronautical mobile,"GSM, IMT-2000"
915000000,921000000,MOBILE except aeronautical mobile,
921000000,925000000,MOBILE except aeronautical mobile,GSM-R
925000000,960000000,MOBILE except aeronautical mobile,"GSM, IMT-2000"
960000000,1164000000,AERONAUTICAL RADIONAVIGATION,"Aeronautical surveillance, DME, JTIDS/MIDS, TACAN-DME"
1164000000,1215000000,"AERONAUTICAL RADIONAVIGATION, RADIONAVIGATION-SATELLITE (space-to-Earth)","Aeronautical surveillance, DME, JTIDS/MIDS, TACAN-DME, Satellite navigation systems"
1215000000,1240000000,"RADIOLOCATION, RADIONAVIGATION, RADIONAVIGATION-SATELLITE (space-to-Earth)","Satellite navigation systems, Defence systems"
1240000000,1260000000,"Amateur, RADIOLOCATION, RADIONAVIGATION, RADIONAVIGATION-SATELLITE (space-to-Earth)","Amateur, Defence systems"
1260000000,1270000000,"Amateur, Amateur-Satellite, RADIOLOCATION, RADIONAVIGATION, RADIONAVIGATION-SATELLITE (space-to-Earth)","Satellite navigation systems, Aeronautical surveillance, Amateur, Amateur-satellite, Defence systems"
1270000000,1300000000,"Amateur, RADIOLOCATION, RADIONAVIGATION, RADIONAVIGATION-SATELLITE (space-to-Earth)","Satellite navigation systems, Aeronautical surveillance, Amateur, Defence systems"
1300000000,1350000000,"AERONAUTICAL RADIONAVIGATION, Radiolocation","Aeronautical surveillance, Defence systems"
1350000000,1362500000,FIXED,
1362500000,1375000000,FIXED,Tactical radio relay
1375000000,1387500000,FIXED,Radio relay
1387500000,1400000000,FIXED,Tactical radio relay
1400000000,1427000000,RADIO ASTRONOMY,
1427000000,1439500000,FIXED,Radio relay
1439500000,1452000000,FIXED,Tactical radio relay
1452000000,1467500000,BROADCASTING,T-DAB (Foreseen)
1467500000,1492000000,"BROADCASTING, FIXED",T-DAB (1452-1479.5 MHz) (Foreseen)
1492000000,1504500000,FIXED,Radio relay (Unidirectional links)
1504500000,1517000000,FIXED,Tactical radio relay
1517000000,1525000000,FIXED,Radio relay (Unidirectional links)
1525000000,1530000000,"FIXED, MOBILE-SATELLITE (space-to-Earth)",MSS Earth stations
1530000000,1535000000,"Fixed, MOBILE-SATELLITE (space-to-Earth)",MSS Earth stations
1535000000,1559000000,MOBILE-SATELLITE (space-to-Earth),"MSS Earth stations, SAR (communications) (1544-1545 MHz)"
1559000000,1610000000,"AERONAUTICAL RADIONAVIGATION, RADIONAVIGATION-SATELLITE (space-to-Earth)",Satellite navigation systems
1610000000,1613800000,"AERONAUTICAL RADIONAVIGATION, MOBILE-SATELLITE (Earth-to-space)",S-PCS
1613800000,1626500000,"AERONAUTICAL RADIONAVIGATION, METEOROLOGICAL-SATELLITE (Earth-to-space), Meteorological-Satellite (space-to-Earth)",S-PCS
1626500000,1660000000,MOBILE-SATELLITE (Earth-to-space),"MSS Earth stations, SAR (communications) (1645.5-1646.5 MHz)"
1660000000,1660500000,"METEOROLOGICAL-SATELLITE (Earth-to-space), RADIO ASTRONOMY",MSS Earth stations
1660500000,1668400000,RADIO ASTRONOMY,
1668400000,1670000000,METEOROLOGICAL AIDS,Meteorology
1670000000,1675000000,"METEOROLOGICAL AIDS, METEOROLOGICAL-SATELLITE (space-to-Earth), MOBILE",Meteorology
